id,name,lat,lon,elev,rain_yrs
1,station_001,36.4759,9.4573,114,6
2,station_002,36.5038,9.5405,249,6
3,station_003,36.3874,9.3626,422,6
4,station_004,36.4124,9.4366,201,6
5,station_005,36.4134,9.5367,311,6
6,station_006,36.397,9.6222,265,6
7,station_007,36.2903,9.2549,363,6
8,station_008,36.3143,9.3405,262,6
9,station_009,36.3153,9.4386,341,6
10,station_010,36.3124,9.5357,364,6
11,station_011,36.3441,9.5944,274,6
12,station_012,36.2153,9.2433,452,6
13,station_013,36.2172,9.3414,340,6
14,station_014,36.2153,9.4376,457,6
15,station_015,36.2153,9.5357,522,6
16,station_016,36.2057,9.603,549,6
17,station_017,36.1172,9.2635,552,6
18,station_018,36.1143,9.3376,451,6
19,station_019,36.1143,9.4376,533,6
20,station_020,36.0787,9.4991,655,6
21,station_021,36.0123,9.2453,717,6
22,station_022,36.0162,9.3385,668,6
23,station_023,36.0162,9.4357,465,6
24,station_024,36.0172,9.5241,642,6
25,station_025,36.0229,9.5953,717,6
26,station_026,35.8816,9.1635,957,6
27,station_027,35.9133,9.2424,756,6
28,station_028,35.92,9.3395,663,6
29,station_029,35.9248,9.4395,842,6
30,station_030,35.9316,9.5241,974,6
31,station_031,35.9681,9.5838,788,6
32,station_032,35.82,9.1404,996,6
33,station_033,35.821,9.2424,862,6
34,station_034,35.8566,9.3347,843,6
35,station_035,35.8575,9.3924,987,6
